Camara,Code,N_PA,Punto,N_Serie,Coordenada1,Lat,Coordenada2,Lon,TipoVeget,Instalador,Altitud,Fecha inicio,Hora inicio,Fecha final,Hora final,Dias Efectivos,Esta?,Funciona?,Daños?,Bateria,Fotos tomadas,Observaciones
21,CT-PNM-1-1,63,CT021,126341402018107,01°33'21.6'',-1.556,80°43'13.9'',-80.7205278,bosque deciduo,L. Cervera,250,22/09/2014,11:09:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,ébano
22,CT-PNM-1-2,,CT022,126341311009155,01°36'00.5'',-1.6001389,80°41'32.0'',-80.6922222,Bosque húmedo,L. Cervera,533,23/09/2014,15:45:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,laurel
23,CT-PNM-1-3,,CT023,126341402015457,01°37'10.3'',-1.6195278,80°41'37.1'',-80.6936389,Bosque de transición,L. Cervera,347,23/09/2014,12:24:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,"canelo (Hora erronea, añadir 1h)"
24,CT-PNM-1-4,,CT024,126341402005359,01°36'37.0'',-1.6102778,80°42'02.4'',-80.7006667,Bosque húmedo,L. Cervera,102.2,24/09/2014,9:17:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,higueron
25,CT-PNM-1-5,,CT025,126341311005472,01°36'39.7'',-1.6110278,80°41'00.4'',-80.6834444,Bosque de transición,L. Cervera,361,23/09/2014,14:08:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,limoncillo
26,CT-PNM-1-6,60,CT026,126341402005496,01°34'59.8'',-1.5832778,80°41'36.2'',-80.6933889,bosque húmedo,D. Lizcano,,23/09/2014,11:10:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,Inclinada/Árboles maduros (Sin Tag)
27,CT-PNM-1-7,51,CT027,126341402005351,01°34'58.6'',-1.5829444,80°42'37'',-80.7102778,Bosque de transición,D. Lizcano,480,24/09/2014,10:16:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,pegador
28,CT-PNM-1-8,70,CT028,126341401000579,01°35'30.9'',-1.5919167,80°41'1.9'',-80.6838611,Bosque húmedo,D. Lizcano,,23/09/2014,13:35:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,inclinada a tagua
29,CT-PNM-1-9,166,CT029,126341311005059,01°35'32.2'',-1.5922778,80°42'7.2'',-80.702,bosque de garua,L. Cervera,566,22/09/2014,14:29:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,palo blanco
30,CT-PNM-1-10,95,CT030,126341402015428,01°34'30'',-1.575,80°41'1.5'',-80.68375,Bosque húmedo,D. Lizcano,,23/09/2014,16:30:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,
31,CT-PNM-1-11,50,CT031,126341402005360,01°31'46.5'',-1.5295833,80°43'37.5'',-80.7270833,Bosque seco,L. Cervera,201,24/09/2014,16:55:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,muyuyo
32,CT-PNM-1-12,60,CT032,126341402015458,01°34'28.2'',-1.5745,80°43'9.3'',-80.71925,bosque garua,V. Parés,483,24/09/2014,12:05:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,laurel
33,CT-PNM-1-13,105,CT033,126341402006449,01°32'51.4'',-1.5476111,80°43'41.9'',-80.7283056,Bosque seco,D. Lizcano,280,25/09/2014,8:50:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,seco/nublado
34,CT-PNM-1-14,130,CT034,126341401000590,01°33'20'',-1.5555556,80°44'12.5'',-80.7368056,Bosque seco,D. Lizcano,332,25/09/2014,13:20:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,cactus
35,CT-PNM-1-15,1,CT035,126341401000581,01°31'12.1'',-1.5200278,80°46'24.5'',-80.7734722,Bosque seco (rivera),L. Cervera,37,25/09/2014,8:11:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,alarrobo
36,CT-PNM-1-16,1,CT036,126341401000585,01°31'45.0'',-1.5291667,80°45'52.2'',-80.7645,Bosque seco (rivera),V. Parés,49,25/09/2014,8:51:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,muyuyo
37,CT-PNM-1-17,1,CT037,126341311005471,01°31'12.3'',-1.5200833,80°45'19.6'',-80.7554444,Bosque seco,L. Cervera,57,25/09/2014,11:00:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,jaile
38,CT-PNM-1-18,1,CT038,126341402005366,01°30'38.2'',-1.5106111,80°45'52.4'',-80.7645556,Bosque seco,L. Cervera,84,25/09/2014,10:15:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,palo santo
39,CT-PNM-1-19,110,CT039,126341401000580,01°32'54.8'',-1.5485556,80°44'47.7'',-80.7465833,Bosque seco,D. Lizcano,124,25/09/2014,15:15:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,en un zapote
40,CT-PNM-1-20,101,CT040,126341401000582,01°33'51'',-1.5641667,80°43'40.5'',-80.7279167,Bosque húmedo,D. Lizcano,300,25/09/2014,10:30:00,/09/2014,NA,NA,NA,NA,NA,NA,NA,mirando hacia barranca F24
21,CT-PNM-2-1,2,CT021,126341402018107,01°38'14.7'',-1.63741,80°39'24.2'',-80.65672,bosque seco,L. Cervera,,18/11/2014,11:00:00,14/01/2015,8:51:00,57,si,si,no,83,115,balsamo
22,CT-PNM-2-2,2,CT022,126341311009155,01°41'01.6'',-1.68377,80°43'09.0'',-80.71916,pastizal,L. Cervera,,19/11/2014,10:03:00,13/01/2015,,55,si,si,no,92,102,torcida
23,CT-PNM-2-3,2,CT023,126341402015457,01°38'14.8'',-1.63744,80°41'33.9'',-80.69275,Bosque de transición,V. Parés,,19/11/2014,16:15:00,13/01/2015,,55,si,si,no,99,229,colorado
24,CT-PNM-2-4,2,CT024,126341402005359,01°39'19.8'',-1.6555,80°39'23.9'',-80.65663,bosque seco,V. Parés,,17/11/2014,16:55:00,14/01/2015,13:49:00,58,si,si,no,96,177,Pegador
25,CT-PNM-2-5,3,CT025,126341311005472,01°39'20.1'',-1.65558,80°40'28.5'',-80.67458,Bosque de transición,L. Cervera,,19/11/2014,3:10:00,13/01/2015,,55,si,si,no,47,158,Palo de vaca (Sin seguridad) 100 fotos
26,CT-PNM-2-6,2,CT026,126341402005496,01°40'25'',-1.67361,"80°40'28,2'",-80.6745,bosque seco,L. Cervera,,17/11/2014,17:30:00,13/01/2015,,57,si,si,no,,374,
27,CT-PNM-2-7,2,CT027,126341402005351,01°39'52.6'',-1.66461,80°39'56.1'',-80.66558,Bosque seco,L. Cervera,,18/11/2014,17:43:00,/09/2014,,,,,,,,pegador
28,CT-PNM-2-8,1,CT028,126341401000579,01°38'47.0'',-1.64638,80°41'00.8',-80.68355,bosque seco,L. Cervera,,19/11/2014,12:53:00,13/01/2015,,55,si,si,no,80,121,Madero negro
