Camara,Code,NPA,Punto GPS,Nserie,Coordenada1,Lat,Coordenada2,Lon,Tipo de vegatación, instala,retira,Altura,inicio,Hora,final,Horafinal,Dias,Observaciones,ESTA,FUNCIONA,DAnOS,VALIDA,NOVALIDA,OBSERVACIONES
1,CT-RVP-1-1,30,CT001,1.26341E+14,1° 08' 01.1 '',-1.133638,80° 50' 41.3 '',-80.844805,bosque galeria,L. Cervera,V. Parés,,10-06-14,9:48:00 AM,12-01-14,9:30:00 AM,56,"rodeada de potrero 197m,robacada de potrero 197 m",SI,SI,NO,X,,
2,CT-RVP-1-2,80,CT002,1.26341E+14,1° 08' 22.8 '',-1.139666,80° 50' 36.3 '',-80.843416,café tagua,L. Cervera,V. Parés,,10-06-14,11:10:00 AM,12-01-14,9:53:00 AM,56,"168m en café, quedo muy expuesta",SI,NO,NO,X,,NO TIENE CARTEL DE RETIRADA
3,CT-RVP-1-3,95,CT003,1.26341E+14,1° 09' 08.8 '',-1.152444,80° 51' 12.5 '',-80.853472,bosque secundario,L. Cervera,V. Parés,,10-06-14,12:45:00 PM,12-01-14,10:29:00 AM,56,ninguna,SI,SI,NO,X,,
4,CT-RVP-1-4,55,CT004,1.26341E+14,1° 09' 34.9 '',-1.159694,80° 50' 39.4 '',-80.844277,bosque secundario,L. Cervera,V. Parés,,10-06-14,1:30:00 PM,12-01-14,10:58:00 AM,56,en venado,SI,SI,NO,X,,
5,CT-RVP-1-5,60,CT005,1.26341E+14,1° 08' 58.7 '',-1.149638,80° 52' 14.0 '',-80.870555,bosque secundario,L. Cervera,V. Parés,,10-06-14,4:12:00 PM,12-01-14,11:45:00 AM,56,"vegatacion baja, sol directamente",SI,SI,NO,X,,
6,CT-RVP-1-6,60,CT006,1.26341E+14,1° 05' 13.2 '',-1.087,80° 51' 09.3 '',-80.852583,toquilla caña guadua,D. Lizcano,D. Lizcano,,10-07-14,9:46:00 AM,12-03-14,9:40:00 AM,57,vegetacion riporia,SI,SI,,X,,NO TIENE CARTEL DE RETIRADA
7,CT-RVP-1-7,60,CT007,1.26341E+14,1° 05' 14.1 '',-1.087249,80° 50' 36.0 '',-80.843333,cerca potrero,D. Lizcano,D. Lizcano,,10-07-14,2:30:00 AM,12-03-14,10:03:00 AM,57,"cerca rio, risk",SI,NO,NO,X,,NO TIENE CARTEL DE RETIRADA
8,CT-RVP-1-8,80,CT008,1.26341E+14,1° 04' 06.6 '',-1.0685,80° 52' 48.6 '',-80.880166,guadual,D. Lizcano,D. Lizcano,,10-07-14,3:45:00 AM,12-03-14,11:00:00 AM,57,grupo de monos,SI,SI,,X,,LENTE DE LA CAMARA NUBLADO - CAMARA EXTRAIDA DEL LUGAR
9,CT-RVP-1-9,65,CT009,1.26341E+14,1°04' 09.7 '',-1.069361,80° 52' 12  .6  '',-80.870166,AF,L. Cervera,L. Cervera,,10-08-14,10:11:00 AM,12-01-14,12:34:00 PM,54,cultivo 372 delante mi ranchito,NO,NO,NO,,X,RETIRADA por gente
10,CT-RVP-1-10,60,CT010,1.26341E+14,1° 05' 52.9 '',-1.098027,80° 51' 09.5 '',-80.852638,bosque primario,D. Lizcano,D. Lizcano,,10-07-14,11:40:00 AM,12-03-14,12:30:00 PM,57,"sin candado, cerca de cultivo de toquilla",SI,SI,,X,,
11,CT-RVP-1-11,2m,CT011,1.26341E+14,01° 07' 25 .7 '',-1.123805,80° 50' 33  .7  '',-80.842694,bosque rivera,L. Cervera,L. Cervera,,10-06-14,10:50:00 AM,12-03-14,9:44:00 AM,58,jigua alado del rio cerca de agua fria,SI,SI,NO,X,,
12,CT-RVP-1-12,2m,CT012,1.26341E+14,01°06 '54 .9'',-1.11525,80°51 '10   .6  '',-80.852944,agro forestal,V. Parés,L. Cervera,,10-07-14,3:41:00 PM,12-03-14,12:04:00 PM,57,"dentro propiedad privada, arbol de agua chento",SI,SI,NO,X,,
13,CT-RVP-1-13,2m,CT013,1.26341E+14,01°07'58 .6 '',-1.132944,80°50 '05   .7  '',-80.834916,agro forestal,D. Lizcano,V. Parés,,10-06-14,9:48:00 AM,12-03-14,8:51:00 AM,58,"cartel, arbol, obo",SI,NO,NO,X,,
14,CT-RVP-1-14,1m,CT014,1.26341E+14,01°07'25.9'',-1.123861,80°51'10   .1  '',-80.852805,bosque humedo,D. Lizcano,L. Cervera,,10-06-14,2:20:00 PM,12-03-14,3:00:00 PM,58,cerca de cultivo naranjo,SI,NO,NO,,X,SOLO TOMO FOTOS EN COLOCACION
15,CT-RVP-1-15,1m,CT015,1.26341E+14,01°06'54.1'',-1.115027,80°50 '38   .9  '',-80.844138,humedo,L. Cervera,L. Cervera,,10-06-14,11:51:00 AM,12-03-14,10:37:00 AM,58,arbol guabo macho,SI,SI,NO,X,,
16,CT-RVP-1-16,3m,CT016,1.26341E+14,01°04' 13.4 '',-1.070388,80° 51 '43   .3  '',-80.862027,potrero,V. Parés,L. Cervera,,10-06-14,2:50:00 PM,12-01-14,9:35:00 AM,56,guaba,SI,SI,NO,X,,
