camera,canopy_c,canopy_h,basal_a
CT-PNM-1-1,47,5.875,15.43202508
CT-PNM-1-10,65.25,4.5,8.057200153
CT-PNM-1-11,0,0,0
CT-PNM-1-12,75,3.75,3.58495671
CT-PNM-1-13,11,4.875,10.96574994
CT-PNM-1-14,56,6.4,16.40286797
CT-PNM-1-15,91,5.583333333,8.500843519
CT-PNM-1-16,18,2.875,7.71899669
CT-PNM-1-17,0,3.1875,4.346909218
CT-PNM-1-18,1,3.116666667,5.723596257
CT-PNM-1-19,36,4.5,7.909982175
CT-PNM-1-2,82,6.125,4.710975299
CT-PNM-1-20,88,8,7.138082506
CT-PNM-1-3,86,8.875,7.693134072
CT-PNM-1-4,83,8.775,7.11420932
CT-PNM-1-5,59,8.75,3.783899924
CT-PNM-1-6,46,9.125,8.16661892
CT-PNM-1-7,25,7.625,11.16071429
CT-PNM-1-8,58,5,3.000063662
CT-PNM-1-9,95,23,18.35649032
CT-PNM-2-1,13.5,6.75,6.523347976
CT-PNM-2-10,47.5,6,4.754742806
CT-PNM-2-11,65,5.375,4.092261905
CT-PNM-2-12,7.25,7.25,7.619525083
CT-PNM-2-13,45,9.75,6.314457601
CT-PNM-2-14,4.25,4.75,11.29201681
CT-PNM-2-15,85.75,7.75,5.383403361
CT-PNM-2-16,22.5,10.625,10.74293354
CT-PNM-2-17,18.75,5.125,9.825805322
CT-PNM-2-18,9.5,6,5.092946269
CT-PNM-2-19,1.75,2.875,8.654029794
CT-PNM-2-2,30,8,5.56842055
CT-PNM-2-20,33.25,7.4,15.62102114
CT-PNM-2-3,59.5,8.5,8.134788006
CT-PNM-2-4,25.5,4.25,7.108241024
CT-PNM-2-5,17.5,7.5,6.386077158
CT-PNM-2-6,26.5,8.5,11.14877769
CT-PNM-2-7,18.75,6.5,14.88095238
CT-PNM-2-8,2.25,7.25,8.005474917
CT-PNM-2-9,10.75,5.5,7.19776547
CT-PNM-3-1,23.75,4.075,4.834320092
CT-PNM-3-2,34.5,3.125,3.616787624
CT-PNM-3-3,16,5.575,8.582410237
CT-PNM-3-4,7.75,5.5,6.829720525
CT-PNM-3-5,82.5,8.5,7.788626814
CT-PNM-3-6,0,0,0
CT-PNM-3-7,18.25,5.5,6.823752228
CT-PNM-3-8,12.5,5.25,4.277279093
CT-PNM-3-9,18.75,3.45,5.172523555
CT-PNM-3-10,13.25,11.75,5.291889483
CT-PNM-3-11,12.5,9.75,11.24029157
CT-PNM-3-13,22.5,4.25,3.143302776
CT-PNM-3-14,27.5,3.75,5.530621339
CT-PNM-3-15,0,0,0
CT-PNM-3-16,48.75,7.5,7.878151261
CT-PNM-3-17,48.75,5,11.49096002
CT-PNM-3-18,0,0,0
CT-PNM-3-19,22,3.5,3.073672651
CT-PNM-3-20,45,8.875,5.888719124
