"year","aoi","cover","loss"
2000,"AOI 1",2480.3911081535,NA
2001,"AOI 1",2480.2950091535,0.0960989999999989
2002,"AOI 1",2480.2950091535,0
2003,"AOI 1",2480.2950091535,0
2004,"AOI 1",2480.0067121535,0.288296999999997
2005,"AOI 1",2479.8145141535,0.192197999999998
2006,"AOI 1",2479.7184151535,0.0960989999999989
2007,"AOI 1",2479.2379201535,0.480494999999994
2008,"AOI 1",2477.6042371535,1.63368299999998
2009,"AOI 1",2477.6042371535,0
2010,"AOI 1",2477.6042371535,0
2011,"AOI 1",2477.6042371535,0
2012,"AOI 1",2477.6042371535,0
